Dashboard;Tegel;Indicator;Eenheid;Periode;regio / dimensie;Waarde;Bron;Omschrijving
"CO2-Uitstoot";"CO2-uitstoot per hoofdsector";"CO2-uitstoot Verkeer en vervoer incl. auto(snel)wegen, excl. elektr. railverkeer (scope 1, tier 1)";"ton";"2012";"Zeeland";"1473114";"Nederlandse Emissieregistratie";"De Emissieregistratie levert op basis van emissieberekening per emissieoorzaak een landelijk CO2-emissietotaal op. Deze CO2-emissies worden door de Emissieregistratie ook verdeeld over gemeenten. Om deze verdeling te berekenen selecteert de Emissieregistratie voor elke emissieoorzaak de meest optimale verdeelsleutel. Denk hierbij aan
verkeersintensiteit (voertuigkilometers) voor emissies uit wegverkeer. Emissieregistratie publiceert CO2-emissies per gemeente en voor Nederland als geheel en hoeveelheden gebruikte voertuigbrandstof (bijvoorbeeld benzine, diesel, LPG) en energie-inhoud voor Nederland als geheel.
Rijkswaterstaat gebruikt gegevens van de Emissieregistratie om het lokale energiegebruik voor verkeer en vervoer (dat niet door de Emissieregistratie zelf gepubliceerd wordt) te bepalen. Rijkswaterstaat berekent hiertoe eerst emissiefactoren en energie-inhouden op basis van:
-	de totale hoeveelheid gebruikte energie van Nederland per brandstofsoort, zoals gepubliceerd door de Emissieregistratie;
-	de totale hoeveelheid gebruikte voertuigbrandstof van Nederland per brandstofsoort, zoals gepubliceerd door de Emissieregistratie;
-	de totale CO2-emissie van Nederland per brandstofsoort, zoals gepubliceerd door de Emissieregistratie.
Rijkswaterstaat berekent de emissiefactoren door de CO2-emissie en de hoeveelheid gebruikte voertuigbrandstof op elkaar te delen. Rijkswaterstaat berekent de energieinhoud door de totale hoeveelheid gebruikte energie en de hoeveelheid gebruikte voertuigbrandstof op elkaar te delen. 
Rijkswaterstaat deelt vervolgens de door de Emissieregistratie gepubliceerde CO2-emissie per gemeente per vervoersmodaliteit (bijvoorbeeld wegverkeer, mobiele werktuigen, binnenvaart) door deze emissiefactoren om te komen tot de hoeveelheden gebruikte voertuigbrandstof per gemeente per vervoersmodaliteit (bijvoorbeeld liters benzine). Daarnaast vermenigvuldigt Rijkswaterstaat de op deze manier verkregen hoeveelheden gebruikte voertuigbrandstof per gemeente met de berekende energie-inhoud om te komen tot de hoeveelheid gebruikte energie (bijvoorbeeld TJ’s energie-inhoud van die benzine) per gemeente per vervoersmodaliteit."
"CO2-Uitstoot";"CO2-uitstoot per hoofdsector";"CO2-uitstoot Verkeer en vervoer incl. auto(snel)wegen, excl. elektr. railverkeer (scope 1, tier 1)";"ton";"2013";"Zeeland";"1485309";"Nederlandse Emissieregistratie";"De Emissieregistratie levert op basis van emissieberekening per emissieoorzaak een landelijk CO2-emissietotaal op. Deze CO2-emissies worden door de Emissieregistratie ook verdeeld over gemeenten. Om deze verdeling te berekenen selecteert de Emissieregistratie voor elke emissieoorzaak de meest optimale verdeelsleutel. Denk hierbij aan
verkeersintensiteit (voertuigkilometers) voor emissies uit wegverkeer. Emissieregistratie publiceert CO2-emissies per gemeente en voor Nederland als geheel en hoeveelheden gebruikte voertuigbrandstof (bijvoorbeeld benzine, diesel, LPG) en energie-inhoud voor Nederland als geheel.
Rijkswaterstaat gebruikt gegevens van de Emissieregistratie om het lokale energiegebruik voor verkeer en vervoer (dat niet door de Emissieregistratie zelf gepubliceerd wordt) te bepalen. Rijkswaterstaat berekent hiertoe eerst emissiefactoren en energie-inhouden op basis van:
-	de totale hoeveelheid gebruikte energie van Nederland per brandstofsoort, zoals gepubliceerd door de Emissieregistratie;
-	de totale hoeveelheid gebruikte voertuigbrandstof van Nederland per brandstofsoort, zoals gepubliceerd door de Emissieregistratie;
-	de totale CO2-emissie van Nederland per brandstofsoort, zoals gepubliceerd door de Emissieregistratie.
Rijkswaterstaat berekent de emissiefactoren door de CO2-emissie en de hoeveelheid gebruikte voertuigbrandstof op elkaar te delen. Rijkswaterstaat berekent de energieinhoud door de totale hoeveelheid gebruikte energie en de hoeveelheid gebruikte voertuigbrandstof op elkaar te delen. 
Rijkswaterstaat deelt vervolgens de door de Emissieregistratie gepubliceerde CO2-emissie per gemeente per vervoersmodaliteit (bijvoorbeeld wegverkeer, mobiele werktuigen, binnenvaart) door deze emissiefactoren om te komen tot de hoeveelheden gebruikte voertuigbrandstof per gemeente per vervoersmodaliteit (bijvoorbeeld liters benzine). Daarnaast vermenigvuldigt Rijkswaterstaat de op deze manier verkregen hoeveelheden gebruikte voertuigbrandstof per gemeente met de berekende energie-inhoud om te komen tot de hoeveelheid gebruikte energie (bijvoorbeeld TJ’s energie-inhoud van die benzine) per gemeente per vervoersmodaliteit."
"CO2-Uitstoot";"CO2-uitstoot per hoofdsector";"CO2-uitstoot Verkeer en vervoer incl. auto(snel)wegen, excl. elektr. railverkeer (scope 1, tier 1)";"ton";"2014";"Zeeland";"1497508";"Nederlandse Emissieregistratie";"De Emissieregistratie levert op basis van emissieberekening per emissieoorzaak een landelijk CO2-emissietotaal op. Deze CO2-emissies worden door de Emissieregistratie ook verdeeld over gemeenten. Om deze verdeling te berekenen selecteert de Emissieregistratie voor elke emissieoorzaak de meest optimale verdeelsleutel. Denk hierbij aan
verkeersintensiteit (voertuigkilometers) voor emissies uit wegverkeer. Emissieregistratie publiceert CO2-emissies per gemeente en voor Nederland als geheel en hoeveelheden gebruikte voertuigbrandstof (bijvoorbeeld benzine, diesel, LPG) en energie-inhoud voor Nederland als geheel.
Rijkswaterstaat gebruikt gegevens van de Emissieregistratie om het lokale energiegebruik voor verkeer en vervoer (dat niet door de Emissieregistratie zelf gepubliceerd wordt) te bepalen. Rijkswaterstaat berekent hiertoe eerst emissiefactoren en energie-inhouden op basis van:
-	de totale hoeveelheid gebruikte energie van Nederland per brandstofsoort, zoals gepubliceerd door de Emissieregistratie;
-	de totale hoeveelheid gebruikte voertuigbrandstof van Nederland per brandstofsoort, zoals gepubliceerd door de Emissieregistratie;
-	de totale CO2-emissie van Nederland per brandstofsoort, zoals gepubliceerd door de Emissieregistratie.
Rijkswaterstaat berekent de emissiefactoren door de CO2-emissie en de hoeveelheid gebruikte voertuigbrandstof op elkaar te delen. Rijkswaterstaat berekent de energieinhoud door de totale hoeveelheid gebruikte energie en de hoeveelheid gebruikte voertuigbrandstof op elkaar te delen. 
Rijkswaterstaat deelt vervolgens de door de Emissieregistratie gepubliceerde CO2-emissie per gemeente per vervoersmodaliteit (bijvoorbeeld wegverkeer, mobiele werktuigen, binnenvaart) door deze emissiefactoren om te komen tot de hoeveelheden gebruikte voertuigbrandstof per gemeente per vervoersmodaliteit (bijvoorbeeld liters benzine). Daarnaast vermenigvuldigt Rijkswaterstaat de op deze manier verkregen hoeveelheden gebruikte voertuigbrandstof per gemeente met de berekende energie-inhoud om te komen tot de hoeveelheid gebruikte energie (bijvoorbeeld TJ’s energie-inhoud van die benzine) per gemeente per vervoersmodaliteit."
"CO2-Uitstoot";"CO2-uitstoot per hoofdsector";"CO2-uitstoot Verkeer en vervoer incl. auto(snel)wegen, excl. elektr. railverkeer (scope 1, tier 1)";"ton";"2015";"Zeeland";"1517392";"Nederlandse Emissieregistratie";"De Emissieregistratie levert op basis van emissieberekening per emissieoorzaak een landelijk CO2-emissietotaal op. Deze CO2-emissies worden door de Emissieregistratie ook verdeeld over gemeenten. Om deze verdeling te berekenen selecteert de Emissieregistratie voor elke emissieoorzaak de meest optimale verdeelsleutel. Denk hierbij aan
verkeersintensiteit (voertuigkilometers) voor emissies uit wegverkeer. Emissieregistratie publiceert CO2-emissies per gemeente en voor Nederland als geheel en hoeveelheden gebruikte voertuigbrandstof (bijvoorbeeld benzine, diesel, LPG) en energie-inhoud voor Nederland als geheel.
Rijkswaterstaat gebruikt gegevens van de Emissieregistratie om het lokale energiegebruik voor verkeer en vervoer (dat niet door de Emissieregistratie zelf gepubliceerd wordt) te bepalen. Rijkswaterstaat berekent hiertoe eerst emissiefactoren en energie-inhouden op basis van:
-	de totale hoeveelheid gebruikte energie van Nederland per brandstofsoort, zoals gepubliceerd door de Emissieregistratie;
-	de totale hoeveelheid gebruikte voertuigbrandstof van Nederland per brandstofsoort, zoals gepubliceerd door de Emissieregistratie;
-	de totale CO2-emissie van Nederland per brandstofsoort, zoals gepubliceerd door de Emissieregistratie.
Rijkswaterstaat berekent de emissiefactoren door de CO2-emissie en de hoeveelheid gebruikte voertuigbrandstof op elkaar te delen. Rijkswaterstaat berekent de energieinhoud door de totale hoeveelheid gebruikte energie en de hoeveelheid gebruikte voertuigbrandstof op elkaar te delen. 
Rijkswaterstaat deelt vervolgens de door de Emissieregistratie gepubliceerde CO2-emissie per gemeente per vervoersmodaliteit (bijvoorbeeld wegverkeer, mobiele werktuigen, binnenvaart) door deze emissiefactoren om te komen tot de hoeveelheden gebruikte voertuigbrandstof per gemeente per vervoersmodaliteit (bijvoorbeeld liters benzine). Daarnaast vermenigvuldigt Rijkswaterstaat de op deze manier verkregen hoeveelheden gebruikte voertuigbrandstof per gemeente met de berekende energie-inhoud om te komen tot de hoeveelheid gebruikte energie (bijvoorbeeld TJ’s energie-inhoud van die benzine) per gemeente per vervoersmodaliteit."
"CO2-Uitstoot";"CO2-uitstoot per hoofdsector";"CO2-uitstoot Verkeer en vervoer incl. auto(snel)wegen, excl. elektr. railverkeer (scope 1, tier 1)";"ton";"2016";"Zeeland";"1568418";"Nederlandse Emissieregistratie";"De Emissieregistratie levert op basis van emissieberekening per emissieoorzaak een landelijk CO2-emissietotaal op. Deze CO2-emissies worden door de Emissieregistratie ook verdeeld over gemeenten. Om deze verdeling te berekenen selecteert de Emissieregistratie voor elke emissieoorzaak de meest optimale verdeelsleutel. Denk hierbij aan
verkeersintensiteit (voertuigkilometers) voor emissies uit wegverkeer. Emissieregistratie publiceert CO2-emissies per gemeente en voor Nederland als geheel en hoeveelheden gebruikte voertuigbrandstof (bijvoorbeeld benzine, diesel, LPG) en energie-inhoud voor Nederland als geheel.
Rijkswaterstaat gebruikt gegevens van de Emissieregistratie om het lokale energiegebruik voor verkeer en vervoer (dat niet door de Emissieregistratie zelf gepubliceerd wordt) te bepalen. Rijkswaterstaat berekent hiertoe eerst emissiefactoren en energie-inhouden op basis van:
-	de totale hoeveelheid gebruikte energie van Nederland per brandstofsoort, zoals gepubliceerd door de Emissieregistratie;
-	de totale hoeveelheid gebruikte voertuigbrandstof van Nederland per brandstofsoort, zoals gepubliceerd door de Emissieregistratie;
-	de totale CO2-emissie van Nederland per brandstofsoort, zoals gepubliceerd door de Emissieregistratie.
Rijkswaterstaat berekent de emissiefactoren door de CO2-emissie en de hoeveelheid gebruikte voertuigbrandstof op elkaar te delen. Rijkswaterstaat berekent de energieinhoud door de totale hoeveelheid gebruikte energie en de hoeveelheid gebruikte voertuigbrandstof op elkaar te delen. 
Rijkswaterstaat deelt vervolgens de door de Emissieregistratie gepubliceerde CO2-emissie per gemeente per vervoersmodaliteit (bijvoorbeeld wegverkeer, mobiele werktuigen, binnenvaart) door deze emissiefactoren om te komen tot de hoeveelheden gebruikte voertuigbrandstof per gemeente per vervoersmodaliteit (bijvoorbeeld liters benzine). Daarnaast vermenigvuldigt Rijkswaterstaat de op deze manier verkregen hoeveelheden gebruikte voertuigbrandstof per gemeente met de berekende energie-inhoud om te komen tot de hoeveelheid gebruikte energie (bijvoorbeeld TJ’s energie-inhoud van die benzine) per gemeente per vervoersmodaliteit."
"CO2-Uitstoot";"CO2-uitstoot per hoofdsector";"CO2-uitstoot Verkeer en vervoer incl. auto(snel)wegen, excl. elektr. railverkeer (scope 1, tier 1)";"ton";"2017";"Zeeland";"1554576";"Nederlandse Emissieregistratie";"De Emissieregistratie levert op basis van emissieberekening per emissieoorzaak een landelijk CO2-emissietotaal op. Deze CO2-emissies worden door de Emissieregistratie ook verdeeld over gemeenten. Om deze verdeling te berekenen selecteert de Emissieregistratie voor elke emissieoorzaak de meest optimale verdeelsleutel. Denk hierbij aan
verkeersintensiteit (voertuigkilometers) voor emissies uit wegverkeer. Emissieregistratie publiceert CO2-emissies per gemeente en voor Nederland als geheel en hoeveelheden gebruikte voertuigbrandstof (bijvoorbeeld benzine, diesel, LPG) en energie-inhoud voor Nederland als geheel.
Rijkswaterstaat gebruikt gegevens van de Emissieregistratie om het lokale energiegebruik voor verkeer en vervoer (dat niet door de Emissieregistratie zelf gepubliceerd wordt) te bepalen. Rijkswaterstaat berekent hiertoe eerst emissiefactoren en energie-inhouden op basis van:
-	de totale hoeveelheid gebruikte energie van Nederland per brandstofsoort, zoals gepubliceerd door de Emissieregistratie;
-	de totale hoeveelheid gebruikte voertuigbrandstof van Nederland per brandstofsoort, zoals gepubliceerd door de Emissieregistratie;
-	de totale CO2-emissie van Nederland per brandstofsoort, zoals gepubliceerd door de Emissieregistratie.
Rijkswaterstaat berekent de emissiefactoren door de CO2-emissie en de hoeveelheid gebruikte voertuigbrandstof op elkaar te delen. Rijkswaterstaat berekent de energieinhoud door de totale hoeveelheid gebruikte energie en de hoeveelheid gebruikte voertuigbrandstof op elkaar te delen. 
Rijkswaterstaat deelt vervolgens de door de Emissieregistratie gepubliceerde CO2-emissie per gemeente per vervoersmodaliteit (bijvoorbeeld wegverkeer, mobiele werktuigen, binnenvaart) door deze emissiefactoren om te komen tot de hoeveelheden gebruikte voertuigbrandstof per gemeente per vervoersmodaliteit (bijvoorbeeld liters benzine). Daarnaast vermenigvuldigt Rijkswaterstaat de op deze manier verkregen hoeveelheden gebruikte voertuigbrandstof per gemeente met de berekende energie-inhoud om te komen tot de hoeveelheid gebruikte energie (bijvoorbeeld TJ’s energie-inhoud van die benzine) per gemeente per vervoersmodaliteit."
"CO2-Uitstoot";"CO2-uitstoot per hoofdsector";"CO2-uitstoot Industrie, Energie, Afval en Water (gas en elektr., tier 3)";"ton";"2010";"Zeeland";"7272515";"Berekening CO2-uitstoot";"De CO2-uitstoot wordt berekend door de energiedragers (bijvoorbeeld kWh elektriciteit , m3 gas, liters benzine) te vermenigvuldigen met de emissiefactor van die energiedrager. Deze emissiefactoren variëren per jaar, afhankelijk van de brandstofmix van de elektriciteitsproductie, de hoeveelheid bijgemengde biobrandstof en de calorische waarde en koolstofinhoud van aardgas.
De bronnen van de verschillende energiedragers en emissiefactoren zijn vermeld bij desbetreffende gegevens."
"CO2-Uitstoot";"CO2-uitstoot per hoofdsector";"CO2-uitstoot Industrie, Energie, Afval en Water (gas en elektr., tier 3)";"ton";"2011";"Zeeland";"7901689";"Berekening CO2-uitstoot";"De CO2-uitstoot wordt berekend door de energiedragers (bijvoorbeeld kWh elektriciteit , m3 gas, liters benzine) te vermenigvuldigen met de emissiefactor van die energiedrager. Deze emissiefactoren variëren per jaar, afhankelijk van de brandstofmix van de elektriciteitsproductie, de hoeveelheid bijgemengde biobrandstof en de calorische waarde en koolstofinhoud van aardgas.
De bronnen van de verschillende energiedragers en emissiefactoren zijn vermeld bij desbetreffende gegevens."
"CO2-Uitstoot";"CO2-uitstoot per hoofdsector";"CO2-uitstoot Industrie, Energie, Afval en Water (gas en elektr., tier 3)";"ton";"2012";"Zeeland";"6779589";"Berekening CO2-uitstoot";"De CO2-uitstoot wordt berekend door de energiedragers (bijvoorbeeld kWh elektriciteit , m3 gas, liters benzine) te vermenigvuldigen met de emissiefactor van die energiedrager. Deze emissiefactoren variëren per jaar, afhankelijk van de brandstofmix van de elektriciteitsproductie, de hoeveelheid bijgemengde biobrandstof en de calorische waarde en koolstofinhoud van aardgas.
De bronnen van de verschillende energiedragers en emissiefactoren zijn vermeld bij desbetreffende gegevens."
"CO2-Uitstoot";"CO2-uitstoot per hoofdsector";"CO2-uitstoot Industrie, Energie, Afval en Water (gas en elektr., tier 3)";"ton";"2013";"Zeeland";"6379217";"Berekening CO2-uitstoot";"De CO2-uitstoot wordt berekend door de energiedragers (bijvoorbeeld kWh elektriciteit , m3 gas, liters benzine) te vermenigvuldigen met de emissiefactor van die energiedrager. Deze emissiefactoren variëren per jaar, afhankelijk van de brandstofmix van de elektriciteitsproductie, de hoeveelheid bijgemengde biobrandstof en de calorische waarde en koolstofinhoud van aardgas.
De bronnen van de verschillende energiedragers en emissiefactoren zijn vermeld bij desbetreffende gegevens."
"CO2-Uitstoot";"CO2-uitstoot per hoofdsector";"CO2-uitstoot Industrie, Energie, Afval en Water (gas en elektr., tier 3)";"ton";"2014";"Zeeland";"5254782";"Berekening CO2-uitstoot";"De CO2-uitstoot wordt berekend door de energiedragers (bijvoorbeeld kWh elektriciteit , m3 gas, liters benzine) te vermenigvuldigen met de emissiefactor van die energiedrager. Deze emissiefactoren variëren per jaar, afhankelijk van de brandstofmix van de elektriciteitsproductie, de hoeveelheid bijgemengde biobrandstof en de calorische waarde en koolstofinhoud van aardgas.
De bronnen van de verschillende energiedragers en emissiefactoren zijn vermeld bij desbetreffende gegevens."
"CO2-Uitstoot";"CO2-uitstoot per hoofdsector";"CO2-uitstoot Industrie, Energie, Afval en Water (gas en elektr., tier 3)";"ton";"2015";"Zeeland";"5788491";"Berekening CO2-uitstoot";"De CO2-uitstoot wordt berekend door de energiedragers (bijvoorbeeld kWh elektriciteit , m3 gas, liters benzine) te vermenigvuldigen met de emissiefactor van die energiedrager. Deze emissiefactoren variëren per jaar, afhankelijk van de brandstofmix van de elektriciteitsproductie, de hoeveelheid bijgemengde biobrandstof en de calorische waarde en koolstofinhoud van aardgas.
De bronnen van de verschillende energiedragers en emissiefactoren zijn vermeld bij desbetreffende gegevens."
